test_0	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9
-32.17372198643252	-29.21544553605379	-30.015178360387985	-30.790620648355205	-32.25701189914188	-31.53430989665875	-33.785608279251086	-30.89980881646726	-30.180483580444676	-30.630694748983284
-35.46336032936663	-32.547495725859726	-33.332204402308	-34.115742851380766	-35.507563012614085	-34.81646380190316	-37.027213592677406	-34.20668813503504	-33.501087617661675	-33.94496327545782
-38.650338900663876	-35.79404711144013	-36.55913904755532	-37.346014053273365	-38.65540827350392	-37.9998875209129	-40.15716979337979	-37.418327299877454	-36.73057963875244	-37.16550716292733
-41.71638573791935	-38.93623486170557	-39.67729280800061	-40.462818383280755	-41.68245080979787	-41.06625130702074	-43.157633921089904	-40.516203796774406	-39.85027852675644	-40.27373503819452
-44.6441233803804	-41.95602019966421	-42.66881975109176	-43.4484070211414	-44.57148032243098	-43.99810042663862	-46.01168740473638	-43.48265964247211	-42.84235201213882	-43.251914817465355
-47.417128501815384	-44.83625733401004	-45.51678246475188	-46.28596120557554	-47.30623252857994	-46.77891640094216	-48.7033917915717	-46.300964176308526	-45.689881233052844	-46.08323715616439
-50.01998359332561	-47.56075221010277	-48.20520890750472	-48.959647169338034	-49.87144069819384	-49.393170263978696	-51.2178366763286	-48.955368803584435	-48.376917187925756	-48.75187082604878
-52.43832100647213	-50.114313376688735	-50.71914144357748	-51.45466330644165	-52.252879590802124	-51.8263681427233	-53.54118014551872	-51.43115399479911	-50.888529381450326	-51.24301032284616
-54.65885967627566	-52.48279527663166	-53.04467837394628	-53.75727988746489	-54.43740210905815	-54.06508947454365	-55.66068205994892	-53.71466885525731	-53.21084697608414	-53.542916018244355
-56.66943485037864	-54.65313427909463	-55.169008282832536	-55.85487164658295	-56.41296899241668	-56.09701818493776	-57.56473050416647	-55.79336358735695	-55.33109276952544	-55.63894717805607
-58.45902115519549	-56.613377777332296	-57.08043752531504	-57.73594356938889	-58.16867187907323	-57.91096715354619	-59.2428617351085	-57.65581517336254	-57.237610324633344	-57.51958817404812
-60.01774933246356	-58.35270668078516	-58.768411185754076	-59.39015021394774	-59.69475006705362	-59.49689629956641	-60.68577396395018	-59.29174660991018	-58.91988458215068	-59.17446822051827
-61.33691698045675	-59.86145163275147	-60.22352783886206	-60.80830889908024	-60.98260130635303	-60.845924619027556	-61.88533530522591	-60.692040027101875	-60.36855628859853	-60.59437496844987
-62.40899363343178	-61.13110328576577	-61.43754844571165	-61.982407093805215	-62.028345980986735	-61.95033650612419	-62.86373453409881	-61.848744025034165	-61.57543057205525	-61.77126229018211
-63.33111608584225	-62.16583722915389	-62.443896061476515	-62.950530225056035	-62.99323682465471	-62.90306225182111	-63.749279948924915	-62.82120793951467	-62.57380824974007	-62.7525824374686
-64.1649494863215	-63.11843984572075	-63.36856206247512	-63.8271145998692	-63.86521606445266	-63.776504575573256	-64.52974293026227	-63.709038367525395	-63.487474220745575	-63.64828565005813
-64.89838074108968	-63.97683469384858	-64.19950139049209	-64.59995961686134	-64.63206402304644	-64.55871078700191	-65.19281504231617	-64.50015490387285	-64.30432732583525	-64.44626586377294
-65.51918077858988	-64.72879165276396	-64.92451066003616	-65.25677459672744	-65.28148090352079	-65.23755078895368	-65.75691739166868	-65.18233765357267	-65.01212880642714	-65.13428491553483
-66.01509062929857	-65.36200947061556	-65.53131033597997	-65.79177078917816	-65.82019443428707	-65.80079761177667	-66.21810009247815	-65.74331115733017	-65.59858635357381	-65.70005710864815
-66.37391488372944	-65.88693417060584	-66.00763422016743	-66.24735528808773	-66.26797226566062	-66.23621522470255	-66.5471731179909	-66.17083565804504	-66.06978712333522	-66.14455920944684
-66.65958741936242	-66.3183135720511	-66.40487372644587	-66.57223022473383	-66.58363949415967	-66.53165375343691	-66.73207105455921	-66.52403827662533	-66.4543137216597	-66.50847156904382
-66.81487449623897	-66.61630225398831	-66.67781616327677	-66.75432129212625	-66.75513747360532	-66.7500042580516	-66.82283048514378	-66.74800285420334	-66.70294391907566	-66.73563192991155
-66.81902780381168	-66.7688616984066	-66.80594916749422	-66.81381391817199	-66.82106756577245	-66.84218069812866	-66.82283048514378	-66.82430017930994	-66.80368909350808	-66.81407190480523
-66.81902780381168	-66.82388362843425	-66.80594916749422	-66.81381391817199	-66.82106756577245	-66.84218069812866	0.0	-66.82430017930994	-66.81135424190761	-66.81407190480523
0.0	-66.82388362843425	0.0	0.0	0.0	0.0	0.0	0.0	-66.81135424190761	0.0
